requirement_id,group,practice_question,formalization_class,proposed_formal_target,legal_or_semantic_preconditions,external_validation_obligation,proof_family_ids,task_ids,minimal_counterexample_test,proof_status
D059,07 侵权责任与损害,责任是否成立，与责任比例大小是否分开？,语义/经验混合（仍有必证结构）,成立门和份额选择分开；无责任不得被赋正赔偿份额,成立/免责/减责适用政策,比例裁量与因果评价,M08;M09;M16,EXT09;ROOT04;ROOT06;ROOT08;T01;T08;T09;T10;T16;T17;T18;T19;T22;T24,用小比例掩盖根本不承担该责任的主体,OBLIGATIONS_INSTANTIATION_PENDING_NOT_PROVED
D060,07 侵权责任与损害,不同主体以何种责任方式承担，而不是只分百分比？,法律条件计算优先（须显式政策）,分别建按份、连带、补充等外部给付义务与内部追偿关系,所用责任模式与先后顺序政策准入,责任方式的法律认定,M08;M09;M11;M16,EXT04;EXT09;ROOT04;ROOT06;ROOT08;T01;T08;T09;T10;T16;T17;T18;T19;T22;T24,同一损害多个连带债务全额相加造成超额受偿,OBLIGATIONS_INSTANTIATION_PENDING_NOT_PROVED
D061,07 侵权责任与损害,总损失由哪些项目构成？,机械精化优先（给定结构输入）,损失账本按损害事件、受益人、项目和时间去重，再执行明确聚合,哪些项目可赔和计价口径经准入,损失存在、必要性、未来损害估计,M01;M09;M16,EXT09;REV02;ROOT02;ROOT04;ROOT06;ROOT08;T01;T02;T08;T09;T10;T22;T24,发票额和同一损失评估额不得无条件双计,OBLIGATIONS_INSTANTIATION_PENDING_NOT_PROVED
D062,07 侵权责任与损害,按责任比例、责任方式计算每方给付是否一致？,机械精化优先（给定结构输入）,逐方给付满足外部偿付总约束及内部规则；共享损失基数一致,比例、连带、已付及追偿口径明定,裁量比例与事实余额,M08;M09;M11;M16,EXT04;EXT09;ROOT04;ROOT06;ROOT08;T01;T08;T09;T10;T16;T17;T18;T19;T22;T24,把外部连带金额按内部份额削减，须发现语义不符,OBLIGATIONS_INSTANTIATION_PENDING_NOT_PROVED
D063,07 侵权责任与损害,金钱赔偿之外是否还有其他承担责任方式？,法律条件计算优先（须显式政策）,恢复原状、停止侵害等非金钱救济为动作/状态目标，不强转人民币,救济允许条件、可履行性及相容性,现实履行可能与比例原则判断,M03;M08;M16,EXT09;ROOT06;ROOT08;T01;T16;T17;T18;T19;T22;T24,道歉或禁令不能当赔偿金额零而消失,OBLIGATIONS_INSTANTIATION_PENDING_NOT_PROVED
D064,07 侵权责任与损害,最终裁判总结是否保留责任分析、比例和金额的条件？,法律条件计算优先（须显式政策）,总结中每项责任、比例、数值和限制来自同一场景见证,文书受保护观察集合独立确定,自由表达语义审核,M08;M11;M13;M16,EXT04;EXT09;ROOT05;ROOT06;ROOT08;T01;T09;T16;T17;T18;T19;T22;T24,不同情景各取最有利结果拼成无条件总结,OBLIGATIONS_INSTANTIATION_PENDING_NOT_PROVED
D065,08 合同条款与权利义务审核,合同主体、签订、生效、到期和续展条件是什么？,机械精化优先（给定结构输入）,合同状态依成立、生效、终止、续展等不同事件更新,触发条款、效力条件和时间语义明确,签署/到达/审批/履行事实,M01;M03;M10;M16,EXT09;REV02;ROOT02;ROOT06;ROOT08;T01;T02;T08;T16;T17;T18;T19;T20;T22;T24,签订日不自动等于生效日；到期不自动抹去存续义务,OBLIGATIONS_INSTANTIATION_PENDING_NOT_PROVED
D066,08 合同条款与权利义务审核,准据法条款指向哪个法域，不能仅凭当事人所在地推断？,法律条件计算优先（须显式政策）,准据法条款候选与最终适用法判断分离并保留冲突法路径,选择法有效性与强制性规范政策,条款解释及连接点核验,M01;M02;M03;M16,EXT09;REV02;ROOT02;ROOT06;ROOT08;T01;T02;T03;T16;T17;T18;T19;T20;T22;T24,当事人在某州设立不自动推定该州法管全部合同,OBLIGATIONS_INSTANTIATION_PENDING_NOT_PROVED
D067,08 合同条款与权利义务审核,最惠待遇、排他、竞业和不招揽义务如何约束各方？,语义/经验混合（仍有必证结构）,限制按主体、行为、区域、期间、例外及规范效力表达,限制条款解释和可执行性政策,合理范围、市场与事实判断,M03;M08;M16,EXT09;ROOT06;ROOT08;T01;T16;T17;T18;T19;T22;T24,排他义务不是自动转让排他知识产权,OBLIGATIONS_INSTANTIATION_PENDING_NOT_PROVED
D068,08 合同条款与权利义务审核,限制的例外或保留条款是否改变主条款效果？,法律条件计算优先（须显式政策）,规则、例外、例外之例外采用明确优先或作用域语义,可废止/严格分类及适用政策已确认,例外文本含义,M03;M06;M16,EXT03;EXT09;ROOT06;ROOT08;T01;T05;T06;T16;T17;T18;T19;T22;T24,正向主条款命中后不得跳过后文除外事项,OBLIGATIONS_INSTANTIATION_PENDING_NOT_PROVED
D069,08 合同条款与权利义务审核,无因终止、通知期与停止续展之间有何差异？,法律条件计算优先（须显式政策）,终止权行使、通知到达、终止生效、拒绝续展分别为事件,合同与适用法对期限/生效的政策明确,通知有效送达事实,M03;M10;M16,EXT09;ROOT06;ROOT08;T01;T08;T16;T17;T18;T19;T20;T22;T24,发出停止续展通知不能直接终止当前履行期,OBLIGATIONS_INSTANTIATION_PENDING_NOT_PROVED
D070,08 合同条款与权利义务审核,控制权变更与转让是否同义，触发同意、通知还是终止？,法律条件计算优先（须显式政策）,控制权变化按每份合同定义求触发，再分别产生通知、同意、终止等后果,各合同定义及事件范围已解释,控制关系和交易实质,M03;M11;M16,EXT04;EXT09;ROOT06;ROOT08;T01;T09;T16;T17;T18;T19;T22;T24,同一交易事实不可用统一阈值覆盖全部合同,OBLIGATIONS_INSTANTIATION_PENDING_NOT_PROVED
D071,08 合同条款与权利义务审核,许可从排他转为非排他时，是否误认整个许可终止？,机械精化优先（给定结构输入）,转换license_exclusive→license_nonexclusive不推出license_terminated,条款对转换与终止有明确语义,条款有效性、触发事实,M03;M08;M16,EXT09;ROOT06;ROOT08;T01;T16;T17;T18;T19;T22;T24,只失去排他性时删除全部使用许可，应拦截,OBLIGATIONS_INSTANTIATION_PENDING_NOT_PROVED
D072,08 合同条款与权利义务审核,知识产权归属、共有及关联方许可范围是什么？,法律条件计算优先（须显式政策）,IP归属、共有份额、许可、再许可和关联方范围使用不同关系,权属转移与许可政策准入,成果性质与权属事实,M01;M03;M08;M16,EXT09;REV02;ROOT02;ROOT06;ROOT08;T01;T02;T16;T17;T18;T19;T22;T24,有许可不等于成为权利人；关联方不因集团标签自动获许可,OBLIGATIONS_INSTANTIATION_PENDING_NOT_PROVED
D073,08 合同条款与权利义务审核,永久、不可撤销、不可转让与用量限制许可是否区分？,法律条件计算优先（须显式政策）,永久性、可撤销性、可转让性、用量上限为独立属性和事件规则,“永久”等文字范围与法律效力明定,开放条款解释,M03;M10;M16,EXT09;ROOT06;ROOT08;T01;T08;T16;T17;T18;T19;T20;T22;T24,永久许可不自动等于不可撤销且无限量,OBLIGATIONS_INSTANTIATION_PENDING_NOT_PROVED
D074,08 合同条款与权利义务审核,最低采购、价格限制、收益分成与用量费用是什么？,机械精化优先（给定结构输入）,采购量、价格机制、分成基数及用量费分别计算并保留期间/单位,最低承诺和费用触发政策,销量、净收入定义及审计事实,M03;M09;M16,EXT09;ROOT04;ROOT06;ROOT08;T01;T08;T09;T10;T16;T17;T18;T19;T22;T24,销售额分成误用利润基数或跨期重复汇总,OBLIGATIONS_INSTANTIATION_PENDING_NOT_PROVED
D075,08 合同条款与权利义务审核,责任上限、无上限例外、约定赔偿和保险怎样衔接？,法律条件计算优先（须显式政策）,赔偿分项先归类，再应用cap、carveout、时间/责任模式约束,上限有效性、例外和保险责任另行明确,损失性质、可保性与比例评价,M03;M09;M11;M16,EXT04;EXT09;ROOT04;ROOT06;ROOT08;T01;T08;T09;T10;T16;T17;T18;T19;T22;T24,对保密例外也机械套一般cap，或将保险限额当责任上限,OBLIGATIONS_INSTANTIATION_PENDING_NOT_PROVED
D076,08 合同条款与权利义务审核,终止后服务、源代码托管、审计权及第三方受益如何存续？,法律条件计算优先（须显式政策）,终止后服务、审计、托管及第三方权利按survival规则独立维持,存续条款与适用法政策,托管条件及第三方地位,M03;M10;M16,EXT09;ROOT06;ROOT08;T01;T08;T16;T17;T18;T19;T20;T22;T24,合同状态终止不得全量删除结算清理等存续效果,OBLIGATIONS_INSTANTIATION_PENDING_NOT_PROVED
D077,09 并购与交割条件,交割时陈述保证的准确性标准及bring-down时点是什么？,法律条件计算优先（须显式政策）,每项陈述绑定被评价时间及bring-down标准，分别测试各交割时点,重要性、知识限定及免责政策准入,陈述真假和重大性,M03;M10;M16,EXT09;ROOT06;ROOT08;T01;T08;T16;T17;T18;T19;T20;T22;T24,签约时真实不自动证明交割时真实,OBLIGATIONS_INSTANTIATION_PENDING_NOT_PROVED
D078,09 并购与交割条件,MAE定义、除外事项与不成比例影响修饰怎样组合？,语义/经验混合（仍有必证结构）,MAE主定义、例外与不成比例影响修饰使用有作用域的表达式,具体合同的语义与法律政策固定,重大性与不成比例影响的开放评价,M03;M06;M11;M16,EXT03;EXT04;EXT09;ROOT06;ROOT08;T01;T05;T06;T09;T16;T17;T18;T19;T22;T24,除外事件无论怎样影响都排除，丢失修饰条款,OBLIGATIONS_INSTANTIATION_PENDING_NOT_PROVED
D079,09 并购与交割条件,知识标准是实际知道、推定知道还是调查后知道？,语义/经验混合（仍有必证结构）,实际知道、推定知道、合理调查后知道分类型，不能作同一布尔字段,知识限定所指人员和调查义务范围明定,主观知道及调查事实,M03;M04;M16,EXT09;ROOT03;ROOT06;ROOT08;T01;T03;T16;T17;T18;T19;T22;T24,一员工知道不自动等于定义中的管理层知道,OBLIGATIONS_INSTANTIATION_PENDING_NOT_PROVED
D080,09 并购与交割条件,no-shop与受托义务例外在何种条件下允许接触其他报价？,法律条件计算优先（须显式政策）,no-shop禁止、允许例外和行使前提构成合法行动集,受托义务例外、保密协议等条件准入,更优报价和董事会评价,M03;M15;M16,EXT08;EXT09;ROOT06;ROOT08;T01;T16;T17;T18;T19;T21;T22;T24,一般禁止不能抹去明确例外，例外也不能取消全部限制,OBLIGATIONS_INSTANTIATION_PENDING_NOT_PROVED
D081,09 并购与交割条件,变更推荐、终止权及匹配期分别在何时触发？,法律条件计算优先（须显式政策）,报价通知、匹配窗口、推荐变更与终止按事件先后和可行策略求解,每一权利的期限和前提单独规定,是否满足商业/法律评价条件,M03;M10;M15;M16,EXT08;EXT09;ROOT06;ROOT08;T01;T08;T16;T17;T18;T19;T20;T21;T22;T24,在匹配期届满前自动生成已可终止状态,OBLIGATIONS_INSTANTIATION_PENDING_NOT_PROVED
D082,09 并购与交割条件,Superior Offer和Intervening Event的定义及时间限制是什么？,语义/经验混合（仍有必证结构）,SuperiorOffer与InterveningEvent分别匹配定义与时间界,具体定义及知悉标准明定,实质更优/不可预见判断,M03;M04;M10;M16,EXT09;ROOT03;ROOT06;ROOT08;T01;T03;T08;T16;T17;T18;T19;T20;T22;T24,所有新报价都算介入事件导致错误权利触发,OBLIGATIONS_INSTANTIATION_PENDING_NOT_PROVED
D083,09 并购与交割条件,通常经营承诺、买方同意和禁止性中间承诺如何约束行为？,法律条件计算优先（须显式政策）,经营承诺、禁止事项及买方同意形成各自条件，行动同时通过必要门,通常经营及合理同意政策,经营正常性与交易事实,M03;M15;M16,EXT08;EXT09;ROOT06;ROOT08;T01;T16;T17;T18;T19;T21;T22;T24,一个同意回执不得豁免其他独立禁止事项,OBLIGATIONS_INSTANTIATION_PENDING_NOT_PROVED
D084,09 并购与交割条件,特定履行等救济的条件是否与交割及终止条款一致？,法律条件计算优先（须显式政策）,特定履行、终止、交割义务与赔偿集合按相容政策求联合结果,救济可用性与互斥/可并行关系准入,可履行性与法院裁量,M03;M08;M11;M16,EXT04;EXT09;ROOT06;ROOT08;T01;T09;T16;T17;T18;T19;T22;T24,相互排斥救济无条件同时列为最终可得,OBLIGATIONS_INSTANTIATION_PENDING_NOT_PROVED
D085,09 并购与交割条件,期权、RSU、离职员工权益与双重触发补偿如何处理？,机械精化优先（给定结构输入）,权益种类、归属、服务身份、价格和双触发事件同一记录联算,交易协议和雇佣权益规则明定,身份、离职事由与价格事实,M01;M03;M09;M16,EXT09;REV02;ROOT02;ROOT04;ROOT06;ROOT08;T01;T02;T08;T09;T10;T16;T17;T18;T19;T22;T24,未发生第二触发仍支付全部双触发补偿,OBLIGATIONS_INSTANTIATION_PENDING_NOT_PROVED
D086,09 并购与交割条件,交易结构、披露附表与尽调发现之间是否矛盾？,法律条件计算优先（须显式政策）,交易结构、披露附表与尽调命题按同一实体/时期比较，输出差异见证,披露效力和修订优先语义已定,实质矛盾与披露充分性,M04;M06;M11;M16,EXT03;EXT04;EXT09;ROOT03;ROOT06;ROOT08;T01;T03;T05;T06;T09;T22;T24,披露表的未知条目被视为保证完全真实,OBLIGATIONS_INSTANTIATION_PENDING_NOT_PROVED
D087,10 企业调查、诉讼与执行数据,公司登记状态、注册资本、法定代表人与上市信息是否对应同一主体？,机械精化优先（给定结构输入）,多表join使用主体键与有效时间；不同快照值作为不同记录,来源表主键、函数依赖和时间字段明确,工商数据真实及时性,M01;M02;M16,EXT09;REV02;ROOT02;ROOT06;ROOT08;T01;T02;T03;T20;T22;T24,混用更名前名称和另一同名公司的资本,OBLIGATIONS_INSTANTIATION_PENDING_NOT_PROVED
D088,10 企业调查、诉讼与执行数据,子公司、参股比例与投资金额如何穿透关联？,机械精化优先（给定结构输入）,穿透关系为带边类型的图查询；持股链、控制和投资额分别表达,穿透定义、闭环及权益计算规则明确,间接控制与代持调查,M01;M02;M11;M16,EXT04;EXT09;REV02;ROOT02;ROOT06;ROOT08;T01;T02;T03;T09;T20;T22;T24,循环持股反复乘加产生虚假权益,OBLIGATIONS_INSTANTIATION_PENDING_NOT_PROVED
D089,10 企业调查、诉讼与执行数据,企业涉诉案件的原被告、案由、法院、时间和金额分别是什么？,机械精化优先（给定结构输入）,企业—案件—角色—金额按键连接，保留原文与记录去重,查询范围和关联谓词明确,案件库覆盖与名称关系核验,M01;M02;M16,EXT09;REV02;ROOT02;ROOT06;ROOT08;T01;T02;T03;T20;T22;T24,同一案件不同文书重复算作多案,OBLIGATIONS_INSTANTIATION_PENDING_NOT_PROVED
D090,10 企业调查、诉讼与执行数据,公司是否有限高、失信或终本记录，各自是什么意思？,机械精化优先（给定结构输入）,限高、失信、终本为不同程序记录/状态，不能隐式互推,各状态含义与有效时间法源,执行记录更新、解除与注销信息,M02;M03;M16,EXT09;ROOT06;ROOT08;T01;T03;T16;T17;T18;T19;T20;T22;T24,终本不自动等于永久失信或债务消灭,OBLIGATIONS_INSTANTIATION_PENDING_NOT_PROVED
D091,10 企业调查、诉讼与执行数据,未履行金额、执行标的与原涉案金额能否区别汇总？,机械精化优先（给定结构输入）,涉案额、执行标的、未履行额、已付额不同数量类型；归并保留债项键,统计业务口径与扣重政策明确,记录完整与金额实际变动,M01;M09;M16,EXT09;REV02;ROOT02;ROOT04;ROOT06;ROOT08;T01;T02;T08;T09;T10;T22;T24,把未履行额与执行标的加成总债务,OBLIGATIONS_INSTANTIATION_PENDING_NOT_PROVED
D092,10 企业调查、诉讼与执行数据,行政处罚的事实、机关、时间和金额能否与企业关联？,机械精化优先（给定结构输入）,行政处罚记录保留机关、主体、行为、日期及结果效力链,决定状态、撤销变更政策明定,官方信息核验与申诉状态,M01;M02;M03;M16,EXT09;REV02;ROOT02;ROOT06;ROOT08;T01;T02;T03;T16;T17;T18;T19;T20;T22;T24,已撤销处罚继续标为当前有效违法结论,OBLIGATIONS_INSTANTIATION_PENDING_NOT_PROVED
D093,10 企业调查、诉讼与执行数据,承办法院、代字、行政区划和联系信息如何多跳查询？,机械精化优先（给定结构输入）,代码、机关、地址与区划的连接有版本/有效期，不丢中间见证,机构键和区划变动映射已准入,最新地址与办公变动,M01;M02;M16,EXT09;REV02;ROOT02;ROOT06;ROOT08;T01;T02;T03;T20;T22;T24,区划改名不得制造两个不同法院或错用旧送达地址,OBLIGATIONS_INSTANTIATION_PENDING_NOT_PROVED
D094,10 企业调查、诉讼与执行数据,律所服务记录与案件代理信息如何查询而不虚构关联？,机械精化优先（给定结构输入）,案件代理边与律所服务记录分别引用原始关系，不作逆向无根据推断,数据库各表关系语义明确,代理信息真实及隐私许可,M01;M02;M16,EXT09;REV02;ROOT02;ROOT06;ROOT08;T01;T02;T03;T20;T22;T24,服务某上市公司不能推出代理该公司全部案件,OBLIGATIONS_INSTANTIATION_PENDING_NOT_PROVED
D095,11 金额、时间和经济敞口,本金、利息、违约金与费用应分别怎样计算？,机械精化优先（给定结构输入）,本息违约金费用按独立基数、期间和组合规则解释并守恒抵充,具体可计项目和请求范围明确,实际欠款与费用证明,M08;M09;M16,EXT09;ROOT04;ROOT06;ROOT08;T01;T08;T09;T10;T16;T17;T18;T19;T22;T24,还款后仍用旧本金累计全部期间利息,OBLIGATIONS_INSTANTIATION_PENDING_NOT_PROVED
D096,11 金额、时间和经济敞口,利率倍数问题对应的基准与适用时点是否明确？,机械精化优先（给定结构输入）,基准率取值由事件与法律政策决定，倍数运算只作用于被确认基准,利率上限法源、合同类型及过渡规则,实际基准发布数据核验,M02;M09;M10;M16,EXT09;ROOT04;ROOT06;ROOT08;T01;T03;T08;T09;T10;T20;T22;T24,用当前LPR倒填所有历史借款期间,OBLIGATIONS_INSTANTIATION_PENDING_NOT_PROVED
D097,11 金额、时间和经济敞口,现金加股票对价、换股比例与期权行权价如何换算？,机械精化优先（给定结构输入）,现金、股份数、股价、汇率和转换比例按维度推导，舍入阶段显式,交易条款、估值时点及舍入规则,价格源与员工身份事实,M01;M09;M16,EXT09;REV02;ROOT02;ROOT04;ROOT06;ROOT08;T01;T02;T08;T09;T10;T22;T24,按股计价格与总价混用使倍率相差股份数,OBLIGATIONS_INSTANTIATION_PENDING_NOT_PROVED
D098,11 金额、时间和经济敞口,提前清偿本金与make-whole溢价是否分别计算？,机械精化优先（给定结构输入）,提前清偿本金与premium分账；触发日和适用比例共同验证,提前清偿与豁免条款政策,偿债余额和预计交割日期,M03;M09;M10;M16,EXT09;ROOT04;ROOT06;ROOT08;T01;T08;T09;T10;T16;T17;T18;T19;T20;T22;T24,2%溢价计在原授信额度而非应清偿余额,OBLIGATIONS_INSTANTIATION_PENDING_NOT_PROVED
D099,11 金额、时间和经济敞口,30/60/90/120/180天等通知、补正和行使期怎样区分？,机械精化优先（给定结构输入）,不同期限带anchor、length、calendar、deadline_effect和证据状态,自然日/工作日、包含日及顺延政策明确,到达/知悉/履行事件核验,M03;M10;M16,EXT09;ROOT06;ROOT08;T01;T08;T16;T17;T18;T19;T20;T22;T24,60日补正期未到，仅因30日通知期到便认定终止,OBLIGATIONS_INSTANTIATION_PENDING_NOT_PROVED
D100,11 金额、时间和经济敞口,相对交割日倒排通知、同意和交付期限是否一致？,机械精化优先（给定结构输入）,倒排得到的时间表满足所有前置和日历约束；不可行时报告冲突,交割日期、资源和审批条件明确,第三方处理时长及可达性,M03;M10;M15;M16,EXT08;EXT09;ROOT06;ROOT08;T01;T08;T16;T17;T18;T19;T20;T21;T22;T24,倒排某项日期在过去，不能仍输出可执行完整计划,OBLIGATIONS_INSTANTIATION_PENDING_NOT_PROVED
D101,11 金额、时间和经济敞口,债务偿还、收入风险、无偿服务敞口与离职补偿是否错误混加？,法律条件计算优先（须显式政策）,债务本金、成本、收入风险、或有赔偿用不同数量/条件；只按声明风险函数聚合,现金流、存量、概率与场景口径明确,相关性、概率和经济损失评价,M09;M11;M12;M16,EXT04;EXT06;EXT07;EXT09;ROOT04;ROOT06;ROOT08;T01;T08;T09;T10;T12;T13;T14;T15;T22;T24,将收入风险当已实现损失并与原收入重复相加,OBLIGATIONS_INSTANTIATION_PENDING_NOT_PROVED
D102,11 金额、时间和经济敞口,终止权行使后服务义务和后续付款是否继续存在？,机械精化优先（给定结构输入）,终止后的义务由存续规则更新，不与主履行义务一并清空,终止生效、清理和过渡服务政策,后续履行和付款事实,M03;M09;M10;M16,EXT09;ROOT04;ROOT06;ROOT08;T01;T08;T09;T10;T16;T17;T18;T19;T20;T22;T24,删除终止前已发生的应付款或已产生责任,OBLIGATIONS_INSTANTIATION_PENDING_NOT_PROVED
D103,11 金额、时间和经济敞口,目标营运资金与最终营运资金、收益质量核对怎样支撑价格调整？,机械精化优先（给定结构输入）,价格调整由同一营运资金定义、参考日、排除项和对账差异计算,SPA价格公式和会计约定准入,报表真实、收益质量及审计判断,M02;M09;M11;M16,EXT04;EXT09;ROOT04;ROOT06;ROOT08;T01;T03;T08;T09;T10;T20;T22;T24,目标与期末使用不同科目范围仍报告精确差额,OBLIGATIONS_INSTANTIATION_PENDING_NOT_PROVED
D104,12 起草、修订与交付,能否起草回应对方主张的答辩，而不是重复案情？,语义/经验混合（仍有必证结构）,答辩覆盖必答请求，命题有出处/假设，承认与保留明确,必答清单和代理授权独立提供,论证质量和语言说服力,M05;M08;M13;M16,EXT05;EXT09;ROOT05;ROOT06;ROOT08;T01;T04;T16;T17;T18;T19;T22;T24,只复制原告事实也获文本相似高分不能称有效答辩,OBLIGATIONS_INSTANTIATION_PENDING_NOT_PROVED
D105,12 起草、修订与交付,能否写出只依现有材料的事实段、理由段与裁判段？,法律条件计算优先（须显式政策）,各段受保护命题与同一事实/论证/结果对象一致，不跳过上游条件,段落生成关系与允许修辞范围明确,任意文本全语义正确与法律充分性,M04;M06;M13;M16,EXT03;EXT09;ROOT03;ROOT05;ROOT06;ROOT08;T01;T03;T05;T06;T22;T24,给金标事实的阶段分数不得当原始卷宗全链分数,OBLIGATIONS_INSTANTIATION_PENDING_NOT_PROVED
D106,12 起草、修订与交付,原告诉讼请求列表是否完整保留各项给付与费用？,机械精化优先（给定结构输入）,已确认诉请列表到文书列表为身份保持的覆盖映射，无遗漏/错误合并,主/备位及分项请求清单独立确认,诉请是否最优或法定可支持,M08;M13;M16,EXT09;ROOT05;ROOT06;ROOT08;T01;T16;T17;T18;T19;T22;T24,两项同金额但不同请求对象不能在去重时删一项,OBLIGATIONS_INSTANTIATION_PENDING_NOT_PROVED
D107,12 起草、修订与交付,客户提示是否说明裁判或监管变化对业务的影响及不确定处？,语义/经验混合（仍有必证结构）,法律变化、裁判效果、执法姿态、预期修法分别呈现并带时间来源,所涉业务影响路径与法律解释,未来执法预测和面向客户的解释质量,M02;M03;M13;M16,EXT09;ROOT05;ROOT06;ROOT08;T01;T03;T16;T17;T18;T19;T20;T22;T24,“暂不执法”写成“规范已经废止”应失败,OBLIGATIONS_INSTANTIATION_PENDING_NOT_PROVED
D108,12 起草、修订与交付,律师备忘录是否兼顾结论、结构、法律依据和数值例子？,语义/经验混合（仍有必证结构）,指定章节/结论/引文/数值样例可逐项验证；核心观察保持,需求清单、模板与可用依据明确,组织、说服力、受众适配由经验/审核评价,M09;M13;M16,EXT09;ROOT04;ROOT05;ROOT06;ROOT08;T01;T08;T09;T10;T22;T24,数值正确但结论删去假设条件不得通过业务合同,OBLIGATIONS_INSTANTIATION_PENDING_NOT_PROVED
D109,12 起草、修订与交付,董事会决议是否含明确批准事项、理由与利益冲突保障？,法律条件计算优先（须显式政策）,决议生成保留机关、表决、授权事项、冲突保障；草稿不构成实际批准事件,公司治理规则、真实程序材料,真实授权、利益冲突评价,M01;M03;M13;M16,EXT09;REV02;ROOT02;ROOT05;ROOT06;ROOT08;T01;T02;T16;T17;T18;T19;T22;T24,生成“已决议”措辞不能使法定程序自动视为完成,OBLIGATIONS_INSTANTIATION_PENDING_NOT_PROVED
D110,12 起草、修订与交付,合同或附属协议草稿是否遵循提供的先例和termsheet？,语义/经验混合（仍有必证结构）,草案满足termsheet已核验约束；模板变换保持未授权变动区域,先例适用、目标条款及冲突处理政策,条款商业/法律质量,M03;M11;M13;M16,EXT04;EXT09;ROOT05;ROOT06;ROOT08;T01;T09;T16;T17;T18;T19;T22;T24,复用模板中的旧客户名或互斥条款应被识别,OBLIGATIONS_INSTANTIATION_PENDING_NOT_PROVED
D111,12 起草、修订与交付,对方红线修改影响哪些权利、义务、风险与其他定义？,法律条件计算优先（须显式政策）,修改点及所有依赖闭包形成受影响区；区外受保护观察不变,依赖图健全、编辑目标和条款语义准入,隐含影响与开放语言理解,M03;M11;M13;M16,EXT04;EXT09;ROOT05;ROOT06;ROOT08;T01;T09;T16;T17;T18;T19;T22;T24,修改定义后正文不变不代表法律效果未变,OBLIGATIONS_INSTANTIATION_PENDING_NOT_PROVED
D112,12 起草、修订与交付,披露附表、并购协议、融资承诺与最终文档是否一致？,法律条件计算优先（须显式政策）,多文书对同一承诺/金额/事件满足共享约束Γ，差异不被静默覆盖,各文档优先/整合条款政策明确,不明条款和遗漏附件的解释,M03;M11;M13;M16,EXT04;EXT09;ROOT05;ROOT06;ROOT08;T01;T09;T16;T17;T18;T19;T22;T24,融资承诺和终版额度不同仍输出“全部一致”须失败,OBLIGATIONS_INSTANTIATION_PENDING_NOT_PROVED
D113,12 起草、修订与交付,法律术语翻译、文书错字与语言校对是否保持原意思？,语义/经验混合（仍有必证结构）,受控术语翻译保持角色/否定/例外/数值；不支持结构保留人工审核,术语映射与目标语法范围固定,自由法律翻译全语义等价,M02;M04;M13;M16,EXT09;ROOT03;ROOT05;ROOT06;ROOT08;T01;T03;T20;T22;T24,“may”译成无条件“应当”、否定词丢失,OBLIGATIONS_INSTANTIATION_PENDING_NOT_PROVED
D114,12 起草、修订与交付,摘要是否覆盖材料要点且不生成无依据事实？,语义/经验混合（仍有必证结构）,摘要的受保护命题有来源；已独立确定的关键要点均覆盖,摘要目标、重要性口径和要点清单明确,语义压缩质量及未知关键点遗漏,M04;M05;M13;M16,EXT05;EXT09;ROOT03;ROOT05;ROOT06;ROOT08;T01;T03;T04;T22;T24,只保留支持方论据，删掉关键例外，不可称完整摘要,OBLIGATIONS_INSTANTIATION_PENDING_NOT_PROVED
D115,12 起草、修订与交付,输出文件名、格式、表格和指定多份交付物是否真实存在且可读取？,机械精化优先（给定结构输入）,必交文件存在、可解析、名称格式正确；回读的关键语义/表格等于核验对象,输出语言、格式规范、解析器可信范围明确,跨阅读器呈现和自由文本语义,M13;M14;M16,EXT09;ROOT05;ROOT06;ROOT07;ROOT08;T01;T22;T23;T24,文件存在但正文为空，或批注暴露内部备算，必须失败,OBLIGATIONS_INSTANTIATION_PENDING_NOT_PROVED
D116,13 办案、交易工作流与策略,尽调请求清单与资料室目录是否对应，哪些材料仍缺失？,机械精化优先（给定结构输入）,required_documents与VDR清单差集精确，未提交流转为明确未决,必需文件清单从任务及规则独立建立,未知文件与资料室完整性,M02;M16,EXT09;ROOT06;ROOT08;T01;T03;T20;T22;T24,缺失材料不得通过从现有目录生成“必需清单”抹去,OBLIGATIONS_INSTANTIATION_PENDING_NOT_PROVED
D117,13 办案、交易工作流与策略,交割清单、审批、同意与解除条件是否满足先后依赖？,法律条件计算优先（须显式政策）,行动/条件图中的发生事件、权限与前置满足；不存在合法排序则报告不可行,独立法定和交易前置条件明确,第三方是否配合和材料真实性,M03;M10;M15;M16,EXT08;EXT09;ROOT06;ROOT08;T01;T08;T16;T17;T18;T19;T20;T21;T22;T24,互相依赖形成环仍生成无条件可执行清单,OBLIGATIONS_INSTANTIATION_PENDING_NOT_PROVED
D118,13 办案、交易工作流与策略,对模糊条款应何时寻求书面确认、同意或豁免？,语义/经验混合（仍有必证结构）,书面确认、豁免与补证为合法行动；价值由明确预测/信息模型计算,可用行动权限、不可豁免规范及成本明定,解释不确定性、对手响应和因果假设,M03;M12;M15;M16,EXT06;EXT07;EXT08;EXT09;ROOT06;ROOT08;T01;T12;T13;T14;T15;T16;T17;T18;T19;T21;T22;T24,强制法义务不能由私人豁免事件删除,OBLIGATIONS_INSTANTIATION_PENDING_NOT_PROVED
